rank,track ID,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,position_restore
1,0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Columbia,1,-1,1,84952932,7799
1,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,1,2,84131760,4001
1,7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,1,2,80764045,401
1,5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,1,7,70502410,6399
2,3VqeTFIvhxu3DIe4eZVzGq,BTS,Butter,BIGHIT MUSIC,2,-1,1,58122349,4002
1,67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,2,3,55582612,2801
2,5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2,2,9,53085371,7000
1,4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,1,3,52357127,2601
1,3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,1,1,6,52160401,5201
2,4fSIb4hdOQ151TILNsSEaF,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,2,28,2,47564794,4202
2,37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),OVO,2,-1,1,45594878,6600
3,6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,7,8,45060633,4003
3,40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,-1,1,43845716,6601
1,5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,-1,1,41903929,8599
1,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,3,40,41518285,9599
3,2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,3,2,39966824,4403
4,6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,3,4,4,38983802,5404
5,0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,5,-1,1,38422223,6603
5,0LThjFY2iTtNdd4wviwVV2,BTS,Permission to Dance,BIGHIT MUSIC,5,-1,1,38023318,5205
3,748mdHapucXQri7IAO8yFK,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3,3,6,37723231,3803
2,2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,Epic,2,6,34,36107065,9600
1,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,1,3,5,34440025,9399
6,2HSmyk2qMN8WQjuGhaQgCk,Drake,Champagne Poetry,OVO,6,-1,1,34053174,6604
3,3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,Columbia,3,-1,1,33940387,8801
6,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,-1,1,33200672,5806
4,5qNh5WtzMbfpSj2jLlBkoD,Billie Eilish,Your Power,Darkroom/Interscope Records,4,-1,1,32938716,3404
7,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,-1,1,32922131,4007
