track_ID,artist_names,track_name,source,streams
4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,78460903
0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,58949095
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,51387060
3nqQXoyQOWXiESFLlDF1hG,Sam Smith Kim Petras,Unholy (feat Kim Petras),EMI,50748879
1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,Generation Now/Atlantic,50438229
1bDbXMyjaUIooNwFE9wn0N,Drake 21 Savage,Rich Flex,OVO / Republic Records,48031503
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,46528433
0skYUMpS0AcbpjcGsAbRGj,BLACKPINK,Pink Venom,YG Entertainment/Interscope Records,41286215
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,39186127
6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,38454334
2tTmW7RDtMQtBk7m2rYeSw,Bizarrap Quevedo,Quevedo: Bzrp Music Sessions Vol 52,DALE PLAY Records,38443942
3k3NWokhRRkEPhCzPmV8TW,Bad Bunny Bomba Estéreo,Ojitos Lindos,Rimas Entertainment LLC,38207348
2FeBslNBMdR9V58uv6hd2t,Kendrick Lamar,N95,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,37163341
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music/Warner Records,36890599
46s57QULU02Voy0Kup6UEb,Drake 21 Savage,Major Distribution,OVO / Republic Records,35793667
1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,35511837
6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Matilda,Columbia,35236379
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,35141825
2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin The Weeknd 21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,35126419
5LYMamLv12UPbemOaTPyeV,Harry Styles,Music For a Sushi Restaurant,Columbia,34720813
4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny Rauw Alejandro,Party,Rimas Entertainment LLC,34175557
1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,34102478
5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,33881864
2KLwPaRDOB87XOYAT2fgxh,Drake 21 Savage Travis Scott,Pussy & Millions (feat Travis Scott),OVO / Republic Records,33728392
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,32763806
5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI Justin Bieber,STAY (with Justin Bieber),Columbia,32295565
3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,32178610
41oY4WCTj5kccfesTVFnvN,Bad Bunny Jhayco,Tarot,Rimas Entertainment LLC,31952895
10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,31936642
3F5CgOj3wFlRv51JsHbxhe,Drake 21 Savage,Jimmy Cooks (feat 21 Savage),OVO,31710710
4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,31638858
3i058E8uxTsYqJ5NWZzqSj,Harry Styles,Little Freak,Columbia,31315752
34tz0eDhGuFErIuW3q4mPX,Drake 21 Savage,On BS,OVO / Republic Records,30341456
0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth Jung Kook BTS,Left and Right (Feat Jung Kook of BTS),Atlantic Records,30313629
51Zw1cKDgkad0CXv23HCMU,Harry Styles,Daylight,Columbia,30158062
1wtOxkiel43cVs0Yux5Q4h,Taylor Swift Lana Del Rey,Snow On The Beach (feat Lana Del Rey),Taylor Swift,30018625
4j6kId9QIqhoXvqHKgSKa0,Harry Styles,Grapejuice,Columbia,29796513
1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,XO / Republic Records,29522371
5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,Rimas Entertainment LLC,29179148
3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,28792124
6gI9b2VsoWhjhIuIeToDVs,Kendrick Lamar Blxst Amanda Reifer,Die Hard,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,28536264
