Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity
1.0,25sgk305KZfyuqVBQIahim,1166185736,Sweet but Psycho,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,0.0691,0.719,0.704,0.0,0.166,"-4,724",0.0476,0.628,"133,002",4,187436,1,1,4npEfmQ6YuiwW1GpUmaq3F,87
2.0,2Fxmhks0bxGSBdJ92vM42m,1052358787,bad guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,0.425,0.13,0.1,"-10,965",0.375,0.562,"135,128",4,194088,7,1,6qqNVTkY8uBg9cP3Jd7DAH,98
3.0,6ocbgoVGwYJhOv1GgI9NsF,789094044,7 rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,0.317,0.0,0.0881,"-10,732",0.334,0.327,"140,048",4,178627,1,0,66CXWjxzNUsdJxJ2JdwvnR,97
4.0,1rgnBhdG2JDFTbYkYRZAku,764208309,Dance Monkey,Tones and I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,0.688,0.825,0.593,0.000161,0.17,"-6,401",0.0988,0.54,"98,078",4,209755,6,0,2NjfBq1NflQcKSeiDooVjY,92
5.0,6v3KW9xbzN5yKLt9YKDYA2,763064359,Senorita,Shawn Mendes,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,0.548,0.0,0.0828,"-6,049",0.029,0.749,"116,967",4,190800,9,0,7n2wHs1TKAczGzO7Dd2rGr,94
6.0,5w9c2J52mkdntKOmRLeM2m,715027898,Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,0.11,0.737,0.86,1.94e-06,0.0574,"-2,652",0.0593,0.656,"93,989",4,193227,8,0,4VMYDCV2IEDYJArk749S6m,95
7.0,2VxeLyX666F8uXCJ0dZF8B,714097238,Shallow,Lady Gaga,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,0.385,0.0,0.231,"-6,362",0.0308,0.323,"95,799",4,215733,7,1,1HY2Jd0NmPuamShAr6KMms,89
8.0,7qEHsqek33rTcFNT9PFqLf,661930419,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.751,0.501,0.405,0.0,0.105,"-5,679",0.0319,0.446,"109,891",4,182161,1,1,4GNC7GD6oZMSxPGyXy4MNB,92
9.0,2dpaYNEQHiRxtZbfNsse99,620829467,Happier,Marshmello,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,0.191,0.687,0.792,0.0,0.167,"-2,749",0.0452,0.671,"100,015",4,214290,5,1,64KEffDW9EtZ1y2vBYgq8T,90
10.0,6MWtB6iiXyIwun0YzU6DFP,615519053,Wow.,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,0.539,2.1e-06,0.101,"-7,399",0.178,0.385,"99,947",4,149520,11,0,246dkjvS1zLTtiykXe5h60,100
