pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo,duration_sec
1,2022,4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,[pop],0.52,0.73,0.06,0.34,0.31,0.66,173.93,167.303
2,2022,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,[pop],0.64,0.64,0.05,0.13,0.14,0.53,97.01,200.69
3,2022,6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,[latin],0.8,0.67,0.03,0.29,0.12,0.29,99.97,245.939
4,2022,3nqQXoyQOWXiESFLlDF1hG,Sam Smith Kim Petras,Unholy (feat Kim Petras),[pop],0.71,0.47,0.09,0.01,0.27,0.24,131.12,156.943
5,2022,1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,[hip hop],0.91,0.56,0.1,0.03,0.11,0.32,107,173.947
6,2022,1bDbXMyjaUIooNwFE9wn0N,Drake 21 Savage,Rich Flex,[hip hop],0.56,0.52,0.24,0.05,0.36,0.42,153.15,239.359
7,2022,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,[pop],0.71,0.73,0.05,0.3,0.11,0.9,115,177.954
8,2022,0skYUMpS0AcbpjcGsAbRGj,BLACKPINK,Pink Venom,[k-pop],0.8,0.7,0.09,0.02,0.26,0.75,90.03,186.964
9,2022,7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,[k-pop],0.82,0.69,0.05,0,0.19,0.69,110.07,175.889
10,2022,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny Chencho Corleone,Me Porto Bonito,[latin],0.91,0.71,0.08,0.09,0.09,0.43,92.01,178.567
11,2022,2tTmW7RDtMQtBk7m2rYeSw,Bizarrap Quevedo,Quevedo: Bzrp Music Sessions Vol 52,[latin],0.62,0.78,0.04,0.01,0.23,0.55,128.03,198.937
12,2022,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny Bomba Estéreo,Ojitos Lindos,[latin],0.65,0.69,0.04,0.08,0.53,0.27,79.93,258.298
13,2022,2FeBslNBMdR9V58uv6hd2t,Kendrick Lamar,N95,[hip hop],0.79,0.67,0.11,0.38,0.12,0.41,139.96,195.95
14,2022,6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,[pop],0.44,0.32,0.05,0.89,0.14,0.27,169.91,233.456
15,2022,46s57QULU02Voy0Kup6UEb,Drake 21 Savage,Major Distribution,[hip hop],0.91,0.55,0.32,0.01,0.07,0.23,131.02,170.501
16,2022,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,[R&B],0.64,0.74,0.04,0.05,0.16,0.42,88.98,153.946
17,2022,6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Matilda,[pop],0.51,0.29,0.04,0.9,0.1,0.39,114.2,245.964
18,2022,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,[latin],0.65,0.72,0.25,0.1,0.13,0.19,106.67,243.716
19,2022,2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin The Weeknd 21 Savage,Creepin (with The Weeknd & 21 Savage),[hip hop],0.72,0.62,0.05,0.42,0.08,0.17,97.95,221.52
20,2022,5LYMamLv12UPbemOaTPyeV,Harry Styles,Music For a Sushi Restaurant,[pop],0.72,0.72,0.04,0.26,0.11,0.36,107.04,193.813
21,2022,4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny Rauw Alejandro,Party,[latin],0.83,0.8,0.09,0.02,0.24,0.47,97.01,227.628
22,2022,1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,[latin],0.56,0.9,0.31,0.36,0.18,0.61,78.29,230.4
23,2022,5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,[pop],0.73,0.44,0.08,0.26,0.16,0.1,96.99,202.395
24,2022,2KLwPaRDOB87XOYAT2fgxh,Drake 21 Savage Travis Scott,Pussy & Millions (feat Travis Scott),[hip hop],0.75,0.63,0.12,0.06,0.35,0.45,122.03,242.026
25,2022,75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),[indie pop],0.63,0.55,0.06,0.72,0.06,0.2,108.38,298.933
26,2022,5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI Justin Bieber,STAY (with Justin Bieber),[hip hop],0.59,0.76,0.05,0.04,0.1,0.48,169.93,141.805
27,2022,3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,[pop],0.64,0.36,0.08,0.69,0.12,0.23,139.87,174.782
28,2022,41oY4WCTj5kccfesTVFnvN,Bad Bunny Jhayco,Tarot,[latin],0.8,0.68,0.04,0.02,0.66,0.42,114.01,237.894
29,2022,10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,[k-pop],0.56,0.89,0.19,0.04,0.33,0.68,172.03,193.593
30,2022,3F5CgOj3wFlRv51JsHbxhe,Drake 21 Savage,Jimmy Cooks (feat 21 Savage),[hip hop],0.53,0.67,0.18,0,0.09,0.37,165.92,218.364
31,2022,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,[pop],0.7,0.54,0.05,0.3,0.37,0.42,121.93,168.601
32,2022,3i058E8uxTsYqJ5NWZzqSj,Harry Styles,Little Freak,[pop],0.56,0.54,0.04,0.72,0.1,0.4,141.96,202.183
33,2022,34tz0eDhGuFErIuW3q4mPX,Drake 21 Savage,On BS,[hip hop],0.84,0.36,0.59,0.02,0.39,0.33,158.01,261.543
34,2022,0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth Jung Kook BTS,Left and Right (Feat Jung Kook of BTS),[pop],0.88,0.59,0.03,0.62,0.09,0.72,101.06,154.486
35,2022,51Zw1cKDgkad0CXv23HCMU,Harry Styles,Daylight,[pop],0.69,0.45,0.04,0.48,0.18,0.63,145.5,164.533
36,2022,1wtOxkiel43cVs0Yux5Q4h,Taylor Swift Lana Del Rey,Snow On The Beach (feat Lana Del Rey),[pop],0.66,0.32,0.04,0.69,0.12,0.19,109.96,256.124
37,2022,4j6kId9QIqhoXvqHKgSKa0,Harry Styles,Grapejuice,[pop],0.65,0.72,0.03,0.36,0.2,0.88,182.93,191.958
38,2022,1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,[R&B],0.74,0.8,0.11,0.03,0.07,0.91,122,188.918
39,2022,5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,[latin],0.79,0.55,0.05,0.31,0.12,0.22,93.05,176.936
40,2022,3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,[pop],0.64,0.4,0.06,0.06,0.1,0.04,108.08,218.27
41,2022,6gI9b2VsoWhjhIuIeToDVs,Kendrick Lamar Blxst Amanda Reifer,Die Hard,[hip hop],0.78,0.74,0.25,0.32,0.13,0.36,100.99,239.026
42,2022,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,[indie pop],0.76,0.53,0.09,0.44,0.09,0.53,80.87,238.805
43,2022,35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,[pop],0.25,0.3,0.03,0.9,0.13,0.17,177.12,196.519
44,2022,4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,Youre On Your Own Kid,[pop],0.7,0.4,0.07,0.4,0.13,0.38,120.04,194.206
45,2022,7rglLriMNBPAyuJOMGwi39,Elton John Dua Lipa PNAU,Cold Heart - PNAU Remix,[rock],0.8,0.8,0.03,0.04,0.09,0.93,116.03,202.735
46,2022,5ildQOEKmJuWGl2vRkFdYc,ROSALÍA,DESPECHÁ,[R&B],0.92,0.62,0.1,0.18,0.06,0.78,130.04,157.017
47,2022,7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,[pop],0.64,0.62,0.07,0.07,0.48,0.1,90.02,204.852
48,2022,46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,[pop],0.6,0.37,0.03,0.58,0.13,0.13,141.98,224.694
49,2022,7GeTsDIc5ykNB6lORO6Cee,Drake 21 Savage,Circo Loco,[hip hop],0.73,0.61,0.07,0.01,0.32,0.25,103.98,236.795
50,2022,5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Yo No Soy Celoso,[latin],0.87,0.59,0.05,0.28,0.17,0.93,142,230.704
51,2022,35TyJIMR3xRouUuo2sjS6v,Harry Styles,Cinema,[pop],0.83,0.64,0.04,0.35,0.09,0.9,105.99,243.507
52,2022,0rzaRSujxA0bKyjJl6vHYq,Harry Styles,Satellite,[pop],0.58,0.46,0.03,0.14,0.09,0.3,138.98,218.577
53,2022,5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,[R&B],0.36,0.28,0.03,0.81,0.18,0.28,99.8,180.853
54,2022,5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X Jack Harlow,INDUSTRY BABY (feat Jack Harlow),[hip hop],0.74,0.69,0.07,0.02,0.05,0.89,150.09,212.352
55,2022,3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,[pop],0.7,0.56,0.07,0.06,0.09,0.43,164,194.165
56,2022,2ZL7WZcjuYKi1KUDtp4kCC,Drake 21 Savage,Spin Bout U,[hip hop],0.77,0.7,0.05,0.01,0.16,0.2,129.96,214.588
57,2022,28GCbKgjlVD9eDmasGbe0T,Bad Bunny,Me Fui de Vacaciones,[latin],0.71,0.65,0.05,0.23,0.09,0.43,85.05,180.929
58,2022,1mw0RgNXIpYRyyCdBQbLgA,Harry Styles,Love Of My Life,[pop],0.56,0.54,0.05,0.67,0.06,0.2,118.06,191.638
59,2022,2mnXxnrX5vCGolNkaFvVeM,Arcángel Bad Bunny,La Jumpa,[latin],0.89,0.23,0.18,0.11,0.13,0.2,140.02,255.693
60,2022,05zd5Nv0e02ZqrlC8A2cwx,Kendrick Lamar,United In Grief,[hip hop],0.53,0.85,0.4,0.24,0.14,0.33,85.63,255.377
61,2022,69w5X6uTrOaWM32IetSzvO,Harry Styles,Daydreaming,[pop],0.71,0.81,0.03,0.31,0.13,0.9,113.97,187.342
62,2022,1r9xUipOqoNwggBpENDsvJ,Imagine Dragons JID Arcane League of Legends,Enemy (with JID) - from the series Arcane League of Legends,[rock],0.73,0.78,0.27,0.24,0.43,0.56,77.01,173.381
63,2022,1xwAWUI6Dj0WGC3KiUPN0O,Taylor Swift,Vigilante Shit,[pop],0.8,0.28,0.39,0.17,0.12,0.16,79.85,164.801
